policy,test_day,profit,revenue,revenue_pv,revenue_energy,revenue_reserve,degradation_cost,soc_min,soc_max,soc_mean,soc_final,dod_max_morning,dod_max_evening,dod_max_overall,energy_throughput_mwh,charge_cycles,action_mean,discharge_hours
TD3 (Nonlinear),2024-01-11,11358.093141122145,11522.906696250064,13123.524415787719,-2050.45556134604,449.83784180838563,164.81355512791959,0.6274089266246297,0.8999999999867997,0.8849372133993191,0.899999999801257,6.758265478912229e-05,0.27252715819425277,0.27252715819425277,57.46881230815437,3.5145617956597413,0.6212526075541973,21
TD3 (Nonlinear),2024-01-12,11313.085399782174,11469.086344006655,13473.235599461712,-2278.246289030641,274.097033575585,156.0009442244818,0.6442022699339292,0.8999999999445382,0.8856965406174643,0.8999999998135055,2.3135204905044837e-05,0.25577479840583417,0.25577479840583417,55.452260360325134,3.613351843492925,0.5939405088623365,21
TD3 (Nonlinear),2024-04-11,3359.8452457619674,4235.12198620134,2009.7503295958368,-50.801688602603065,2276.173345208106,875.2767404393732,0.5563570310740549,0.8999999999440215,0.8544866122449061,0.8999817188358714,0.2692082784268296,0.34364244782228237,0.34364244782228237,98.3173418605839,4.768393353985456,0.6853720185657343,22
TD3 (Nonlinear),2024-06-13,10981.034329812885,11737.57230039849,11451.363534737113,-1127.497735303471,1413.7065009648463,756.5379705856045,0.5654474406211347,0.8999999996142276,0.8389922893017827,0.8999899018999519,0.10369159921338056,0.3345496178105706,0.3345496178105706,77.35498639309722,3.853687777782155,0.5939096895356973,20
TD3 (Nonlinear),2024-06-14,9109.66819009724,9937.242857027899,8691.689337331713,-55.13827965046618,1300.691799346652,827.5746669306592,0.5563571460293044,0.8999999999438743,0.7938984468222049,0.8999817204482812,0.2551785729793453,0.3436425707184573,0.3436425707184573,96.63301102585646,4.686701593452405,0.6729099315901598,20
TD3 (Nonlinear),2024-10-10,5800.809308373543,6677.319512122522,4761.6011025212065,-496.70785475766786,2412.426264358983,876.510203748979,0.5563573883161503,0.8999999999999991,0.8706488428143483,0.8999994516494846,0.2529819389941147,0.3436426116838488,0.3436426116838488,96.37039435424808,4.673964126181032,0.9960603440801302,21
PV+DS3 (Reserve Only),2024-01-11,13723.959956554047,13723.959956554047,13264.073896642882,0.0,459.8860599111654,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
PV+DS3 (Reserve Only),2024-01-12,13795.75719692326,13795.75719692326,13516.359943085907,0.0,279.3972538373531,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
PV+DS3 (Reserve Only),2024-04-11,4890.305472666266,4890.305472666266,2702.403041567613,0.0,2187.902431098653,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
PV+DS3 (Reserve Only),2024-06-13,13589.556015618571,13589.556015618571,12086.999858633773,0.0,1502.5561569847969,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
PV+DS3 (Reserve Only),2024-06-14,10939.650269456475,10939.650269456475,9531.295603192219,0.0,1408.354666264257,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
PV+DS3 (Reserve Only),2024-10-10,7949.071767770369,7949.071767770369,5466.941025641234,0.0,2482.130742129135,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
PV+DA (Heuristic),2024-01-11,14486.74858233394,14642.446458593315,11850.939041815896,2338.067176545698,453.4402402317197,155.69787625937522,0.5,0.8586406828146012,0.648876587293865,0.5861135246203484,0.21666384783365567,0.27252715819425277,0.27252715819425277,64.05676380741747,3.917454455539613,0.15416666666666667,2
PV+DA (Heuristic),2024-01-12,14008.085291984551,14159.366178298962,12026.682372976336,1811.817056536533,320.86674878609216,151.2808863144116,0.5,0.8587043859565604,0.6660213890701083,0.6029295875507263,0.21616224838201048,0.25577479840583406,0.25577479840583406,63.02549700997446,4.106835218767516,0.15416666666666665,2
PV+DA (Heuristic),2024-04-11,7007.089505704759,7439.636658592401,2667.307700270742,2696.5966034561598,2075.7323548654986,432.54715288764135,0.4863312291523183,0.8127917061554355,0.6307757133231892,0.4863312291523183,0.2692082784268296,0.3264604770031172,0.3264604770031172,70.66792061234858,3.6077833607442473,0.15416666666666665,2
PV+DA (Heuristic),2024-06-13,16463.175603739146,16893.666246584602,11143.109991414225,4247.813430314721,1502.7428248556566,430.4906428454567,0.49440785180203695,0.8208683288051541,0.6364966543667397,0.49440785180203695,0.26113165577711106,0.3264604770031172,0.3264604770031172,70.19786117413497,3.5837855891237886,0.15416666666666665,2
PV+DA (Heuristic),2024-06-14,12776.559093043748,13205.533932181825,8910.782033567626,2956.2291948072607,1338.5227038069395,428.9748391380756,0.5,0.82682141160292,0.6164634219908961,0.5003609345998028,0.2551785729793452,0.3264604770031172,0.3264604770031172,69.851391755305,3.566097413308933,0.15416666666666667,2
PV+DA (Heuristic),2024-10-10,10320.768172026463,10749.18369323605,5221.958215555665,3032.082679272119,2495.142798408266,428.41552120958625,0.5,0.8290180455881506,0.6286668505462324,0.5025575685850334,0.2529819389941146,0.3264604770031172,0.3264604770031172,69.72354765736458,3.559570635595337,0.15416666666666667,2
Realistic Trader (Linear Deg),2024-01-11,11298.127923479879,11576.720563658093,11685.087039690583,-558.75312765291,450.38665162042014,278.592640178215,0.6274728418056053,0.8999999999998579,0.875693398671761,0.8999999933775901,0.21666384783365567,0.27252715819425266,0.27252715819425266,83.47242166869012,5.104838127067958,0.9583333333333334,21
Realistic Trader (Linear Deg),2024-01-12,11420.98227730655,11556.127471796372,11986.637367822157,-725.145221553185,294.63532552739895,135.14519448982128,0.683837751616313,0.9,0.8871431294555858,0.9,0.21616224838201037,0.0,0.21616224838201037,50.69377162173055,3.908620492336736,0.9166666666666666,19
Realistic Trader (Linear Deg),2024-04-11,3101.1621099856848,3844.1363367898084,2694.2496839895307,-1020.9106480220239,2170.7973008223016,742.9742268041238,0.5563573883161512,0.9,0.8814913230217263,0.8993907216494845,0.0,0.3436426116838488,0.3436426116838488,65.96082474226804,3.1991,0.9166666666666666,13
Realistic Trader (Linear Deg),2024-06-13,10907.800674701499,11631.966043678747,12046.26348687713,-1860.8092593761467,1446.5118161777652,724.1653689772477,0.5654503821894294,0.9,0.8822718049958492,0.8996635114656829,0.0,0.3345496178105706,0.3345496178105706,64.88603286644656,3.232506700156431,0.9166666666666666,13
Realistic Trader (Linear Deg),2024-06-14,8727.5838039867,9470.558030790824,9470.483563649115,-1360.6280298917188,1360.7024970334287,742.9742268041238,0.5563573883161512,0.9,0.8814913230217263,0.8993907216494845,0.0,0.3436426116838488,0.3436426116838488,65.96082474226804,3.1991,0.9166666666666666,13
Realistic Trader (Linear Deg),2024-10-10,5800.898452957826,6677.389511097532,4761.678549419744,-496.7114945031347,2412.422456180923,876.4910581397058,0.5563573883159852,0.899999999999834,0.8706482390312553,0.8999817216494844,0.2529819389941147,0.3436426116838488,0.3436426116838488,96.36929765321713,4.673910936181031,0.9583333333333334,18
