policy,test_day,hour,action,delta,is_discharge_slot,soc,soc_before,dod_morning,dod_evening,p_battery,p_pv_raw,p_pv_grid,p_bess_em,p_reserve,price_em,price_as,revenue_pv,revenue_energy,revenue_reserve,degradation_cost,reward,cumulative_revenue,cumulative_degradation,cumulative_profit,k,weekday,season,price_em_raw,price_as_raw,p_res_total_raw,soc_raw,dod_raw,price_em_max_morning,price_em_max_evening,k_em_max_morning,k_em_max_evening,price_em_min,k_em_min,price_as_min,price_as_max
TD3 (Nonlinear),1/11/2024,0,1.0000,1.0000,FALSE,0.8233,0.5000,0.0000,0.0000,-19.9992,0.0000,0.0000,-19.9992,20.0000,91.7500,1.4222,0.0000,-1834.9265,28.4442,17.4993,-1823.9816,-1806.4823,17.4993,-1823.9816,0.0000,3.0000,0.0000,91.7500,1.4222,0.0000,0.5000,0.0000,141.0000,149.1200,8.0000,17.0000,82.0700,4.0000,0.6668,2.4502
TD3 (Nonlinear),1/11/2024,1,0.9892,0.9892,FALSE,0.8969,0.8233,0.0000,0.0000,-4.5513,0.7823,0.0000,-3.7690,20.0000,88.5900,0.0000,0.0000,-333.8949,0.0000,3.9824,-337.8773,-2140.3772,21.4817,-2161.8589,1.0000,3.0000,0.0000,88.5900,0.0000,0.7823,0.8233,0.0000,141.0000,149.1200,8.0000,17.0000,82.0700,4.0000,0.6668,2.4502
TD3 (Nonlinear),1/11/2024,2,0.9985,0.9985,FALSE,0.8999,0.8969,0.0000,0.0000,-0.1857,0.0000,0.0000,-0.1857,20.0000,87.2500,2.4502,0.0000,-16.2046,49.0034,0.1625,32.6363,-2107.5785,21.6442,-2129.2227,2.0000,3.0000,0.0000,87.2500,2.4502,0.0000,0.8969,0.0000,141.0000,149.1200,8.0000,17.0000,82.0700,4.0000,0.6668,2.4502
TD3 (Nonlinear),1/11/2024,3,0.9983,0.9983,FALSE,0.9000,0.8999,0.0000,0.0000,-0.0058,0.4110,0.4051,0.0000,19.5949,82.3800,2.4449,33.3732,0.0000,47.9071,0.0051,81.2752,-2026.2982,21.6493,-2047.9475,3.0000,3.0000,0.0000,82.3800,2.4449,0.4110,0.8999,0.0000,141.0000,149.1200,8.0000,17.0000,82.0700,4.0000,0.6668,2.4502
TD3 (Nonlinear),1/11/2024,4,0.9997,0.9997,FALSE,0.9000,0.9000,0.0000,0.0000,-0.0002,0.0435,0.0433,0.0000,19.9567,82.0700,2.4396,3.5568,0.0000,48.6860,0.0002,52.2426,-1974.0554,21.6495,-1995.7049,4.0000,3.0000,0.0000,82.0700,2.4396,0.0435,0.9000,0.0000,141.0000,149.1200,8.0000,17.0000,82.0700,4.0000,0.6668,2.4502
TD3 (Nonlinear),1/11/2024,5,0.9998,0.9998,FALSE,0.9000,0.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.0000,88.8400,1.4050,0.0000,-0.0005,28.1002,0.0000,28.0997,-1945.9557,21.6495,-1967.6052,5.0000,3.0000,0.0000,88.8400,1.4050,0.0000,0.9000,0.0000,141.0000,149.1200,8.0000,17.0000,82.0700,4.0000,0.6668,2.4502
TD3 (Nonlinear),1/11/2024,6,0.9998,0.9998,FALSE,0.9000,0.9000,0.0000,0.0000,0.0000,0.0459,0.0459,0.0000,19.9541,101.4100,1.4090,4.6527,0.0000,28.1150,0.0000,32.7677,-1913.1880,21.6495,-1934.8375,6.0000,3.0000,0.0000,101.4100,1.4090,0.0459,0.9000,0.0000,141.0000,149.1200,8.0000,17.0000,82.0700,4.0000,0.6668,2.4502
TD3 (Nonlinear),1/11/2024,7,0.8712,0.8712,FALSE,0.9000,0.9000,0.0000,0.0000,0.0000,2.8885,2.8885,0.0000,17.1115,116.8300,1.5413,337.4636,0.0000,26.3736,0.0000,363.8372,-1549.3509,21.6495,-1571.0004,7.0000,3.0000,0.0000,116.8300,1.5413,2.8885,0.9000,0.0000,141.0000,149.1200,8.0000,17.0000,82.0700,4.0000,0.6668,2.4502
TD3 (Nonlinear),1/11/2024,8,0.0002,0.0002,TRUE,0.8999,0.9000,0.0001,0.0000,0.0039,7.3902,7.3902,0.0039,12.6059,141.0000,0.9790,1042.0131,0.5546,12.3413,0.0034,1054.9056,-494.4418,21.6529,-516.0948,8.0000,3.0000,0.0000,141.0000,0.9790,7.3902,0.9000,0.0000,141.0000,149.1200,8.0000,17.0000,82.0700,4.0000,0.6668,2.4502
TD3 (Nonlinear),1/11/2024,9,0.0000,0.0000,FALSE,0.8999,0.8999,0.0001,0.0000,0.0000,10.7852,10.7852,0.0000,9.2148,129.1600,1.1523,1393.0110,0.0000,10.6185,0.0000,1403.6295,909.1876,21.6529,887.5347,9.0000,3.0000,0.0000,129.1600,1.1523,10.7852,0.8999,0.0001,141.0000,149.1200,8.0000,17.0000,82.0700,4.0000,0.6668,2.4502
TD3 (Nonlinear),1/11/2024,10,0.0000,0.0000,FALSE,0.8999,0.8999,0.0001,0.0000,0.0000,13.7293,13.7293,0.0000,6.2707,113.6500,1.1550,1560.3381,0.0000,7.2424,0.0000,1567.5806,2476.7682,21.6529,2455.1152,10.0000,3.0000,0.0000,113.6500,1.1550,13.7293,0.8999,0.0001,141.0000,149.1200,8.0000,17.0000,82.0700,4.0000,0.6668,2.4502
TD3 (Nonlinear),1/11/2024,11,0.0000,0.0000,FALSE,0.8999,0.8999,0.0001,0.0000,0.0000,14.2298,14.2298,0.0000,5.7702,106.4800,1.3415,1515.1840,0.0000,7.7408,0.0000,1522.9249,3999.6930,21.6529,3978.0401,11.0000,3.0000,0.0000,106.4800,1.3415,14.2298,0.8999,0.0001,141.0000,149.1200,8.0000,17.0000,82.0700,4.0000,0.6668,2.4502
TD3 (Nonlinear),1/11/2024,12,0.0000,0.0000,FALSE,0.8999,0.8999,0.0001,0.0000,0.0000,14.5958,14.5958,0.0000,5.4042,99.3800,1.3600,1450.5260,0.0000,7.3499,0.0000,1457.8759,5457.5689,21.6529,5435.9160,12.0000,3.0000,0.0000,99.3800,1.3600,14.5958,0.8999,0.0000,141.0000,149.1200,8.0000,17.0000,82.0700,4.0000,0.6668,2.4502
