policy,test_day,profit,revenue,revenue_pv,revenue_energy,revenue_reserve,degradation_cost,soc_min,soc_max,soc_mean,soc_final,dod_max_morning,dod_max_evening,dod_max_overall,energy_throughput_mwh,charge_cycles,action_mean,discharge_hours
TD3 (Nonlinear),2024-01-11,16896.604498138444,16999.898270336755,13264.073896642882,3418.332088755261,317.49228493861307,103.29377219830994,0.1,0.5,0.30208439039571244,0.1,0.21666384783365567,0.18333615216634433,0.21666384783365567,23.610005073899416,1.8161778649251221,0.9443934398392836,0
TD3 (Nonlinear),2024-01-12,15102.093373138023,15243.871377968198,13491.251248263554,1499.0451718512272,253.57495785341854,141.77800483017543,0.42735253917531585,0.8992895859631603,0.6697599033264394,0.42735253917531585,0.21616224838201037,0.2557747984058341,0.2557747984058341,52.165061027990305,3.399153040951072,0.7716276670495669,3
TD3 (Nonlinear),2024-04-11,5233.925621736345,5915.499179358866,2694.483058317622,1176.2640819095973,2044.7520391316468,681.5735576225211,0.2871186978659211,0.899930998577714,0.6579826209932667,0.5101447497845867,0.2692082784268296,0.3436040222849633,0.3436040222849633,74.19910170532611,3.5990605897598265,0.6637796486417452,4
TD3 (Nonlinear),2024-06-13,16311.865093321994,16740.707007755034,12047.213552535848,3481.0939924423683,1212.3994627768182,428.841914433041,0.3036350390886262,0.8993163126763078,0.6548993877012049,0.3036350390886262,0.26113165577711106,0.3345496178105706,0.3345496178105706,59.36862822649222,2.957639418582351,0.7608782947063446,3
TD3 (Nonlinear),2024-06-14,11398.999804903231,12117.766354077385,9499.017155185174,1473.4692857409375,1145.2799131512734,718.7665491741533,0.3011197490608691,0.8999309791339049,0.6694826487308173,0.5617782367384432,0.2551785729793453,0.34363265709369045,0.34363265709369045,75.71201772291948,3.6721392335671217,0.6584452763199806,4
TD3 (Nonlinear),2024-10-10,9648.738457764928,10084.794703960672,5444.260638882914,2421.62043698458,2218.9136280931784,436.0562461957429,0.3033113418844615,0.8999309562327374,0.6458576350712879,0.3033113418844615,0.2529819389941147,0.34363767535416123,0.34363767535416123,59.461258847816296,2.8839124807126235,0.7328380917509397,3
PV+DS3 (Reserve Only),2024-01-11,13723.959956554047,13723.959956554047,13264.073896642882,0.0,459.8860599111654,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
PV+DS3 (Reserve Only),2024-01-12,13795.75719692326,13795.75719692326,13516.359943085907,0.0,279.3972538373531,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
PV+DS3 (Reserve Only),2024-04-11,4890.305472666266,4890.305472666266,2702.403041567613,0.0,2187.902431098653,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
PV+DS3 (Reserve Only),2024-06-13,13589.556015618571,13589.556015618571,12086.999858633773,0.0,1502.5561569847969,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
PV+DS3 (Reserve Only),2024-06-14,10939.650269456475,10939.650269456475,9531.295603192219,0.0,1408.354666264257,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
PV+DS3 (Reserve Only),2024-10-10,7949.071767770369,7949.071767770369,5466.941025641234,0.0,2482.130742129135,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
PV+DA (Heuristic),2024-01-11,14486.74858233394,14642.446458593315,11850.939041815896,2338.067176545698,453.4402402317197,155.69787625937522,0.5,0.8586406828146012,0.648876587293865,0.5861135246203484,0.21666384783365567,0.27252715819425277,0.27252715819425277,64.05676380741747,3.917454455539613,0.004166666666666661,2
PV+DA (Heuristic),2024-01-12,14008.085291984551,14159.366178298962,12026.682372976336,1811.817056536533,320.86674878609216,151.2808863144116,0.5,0.8587043859565604,0.6660213890701083,0.6029295875507263,0.21616224838201048,0.25577479840583406,0.25577479840583406,63.02549700997446,4.106835218767516,0.004166666666666661,2
PV+DA (Heuristic),2024-04-11,7007.089505704759,7439.636658592401,2667.307700270742,2696.5966034561598,2075.7323548654986,432.54715288764135,0.4863312291523183,0.8127917061554355,0.6307757133231892,0.4863312291523183,0.2692082784268296,0.3264604770031172,0.3264604770031172,70.66792061234858,3.6077833607442473,0.004166666666666661,2
PV+DA (Heuristic),2024-06-13,16463.175603739146,16893.666246584602,11143.109991414225,4247.813430314721,1502.7428248556566,430.4906428454567,0.49440785180203695,0.8208683288051541,0.6364966543667397,0.49440785180203695,0.26113165577711106,0.3264604770031172,0.3264604770031172,70.19786117413497,3.5837855891237886,0.004166666666666661,2
PV+DA (Heuristic),2024-06-14,12776.559093043748,13205.533932181825,8910.782033567626,2956.2291948072607,1338.5227038069395,428.9748391380756,0.5,0.82682141160292,0.6164634219908961,0.5003609345998028,0.2551785729793452,0.3264604770031172,0.3264604770031172,69.851391755305,3.566097413308933,0.004166666666666661,2
PV+DA (Heuristic),2024-10-10,10320.768172026463,10749.18369323605,5221.958215555665,3032.082679272119,2495.142798408266,428.41552120958625,0.5,0.8290180455881506,0.6286668505462324,0.5025575685850334,0.2529819389941146,0.3264604770031172,0.3264604770031172,69.72354765736458,3.559570635595337,0.004166666666666661,2
