hour,action,delta,soc,soc_before,dod_morning,dod_evening,p_battery,p_pv_raw,p_pv_grid,p_bess_em,p_reserve,price_em,price_as,revenue_pv,revenue_energy,revenue_reserve,degradation_cost,reward,cumulative_revenue,cumulative_degradation,cumulative_profit,k,weekday,season,price_em_raw,price_as_raw,p_res_total_raw,soc_raw,dod_raw,price_em_max_morning,price_em_max_evening,k_em_max_morning,k_em_max_evening,price_em_min,k_em_min,price_as_min,price_as_max,time_to_peak_hour
0,-0.6252365708351135,-0.6252365708351135,0.70215982457002,0.5,0.20215982457002002,0.0,-12.50473141670227,0.5215498606617941,0.0,-11.983181556040476,7.4952685832977295,83.14999999999999,1.1644882379556112,0.0,-996.4015463847654,8.728152105568423,54.70819994807243,-0.42892955871461175,-987.673394279197,54.70819994807243,-1042.3815942272695,0.0,0.0,0.0,83.14999998835846,1.1644884185864801,0.5215495824813843,0.5,0.0,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,7.999999992549419
1,-0.8409020900726318,-0.8409020900726318,0.8940647947371005,0.70215982457002,0.39406479473710054,0.0,-11.8704105257988,0.0,0.0,-11.8704105257988,8.1295894742012,82.73,1.056661682411641,0.0,-982.0390627993347,8.590225691125408,207.732184201479,-0.5082748765732465,-1961.1222313874064,262.4403841495514,-2223.5626155369578,0.9999997615814209,0.0,0.0,82.73000000234693,1.0566615436229732,0.0,0.70215982457002,0.2021598219871521,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,6.999999895691872
2,-0.9412243366241455,-0.9412243366241455,0.899821943842113,0.8940647947371005,0.399821943842113,0.0,-0.35611231577396874,0.6800729650057269,0.32396064923175816,-0.0,19.64388768422603,77.46999999999998,1.3101646303141927,25.0972314959843,-0.0,25.73672684573752,6.231965526044453,0.021884188607064838,-1910.2882730456845,268.67234967559585,-2178.9606227212803,2.0000002086162567,0.0,0.0,77.47000010788439,1.3101647620472403,0.6800729036331177,0.8940647947371005,0.3940647915005684,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,5.999999955296516
3,-0.9805107712745667,-0.9805107712745667,0.8999946583152634,0.899821943842113,0.3999946583152634,0.0,-0.010683369473221127,1.5991813492284268,1.5884979797552057,-0.0,18.411502020244793,75.21999999999998,1.453175043889333,119.48681803718655,-0.0,26.75513525633777,0.18695896578136972,0.07161489345150746,-1764.0463197521601,268.8593086413772,-2032.9056283935374,2.9999999701976776,0.0,0.0,75.2200001773238,1.4531750926391265,1.5991812944412231,0.899821943842113,0.3998219445347786,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,4.999999701976776
4,-0.9945183396339417,-0.9945183396339417,0.899999839749458,0.8999946583152634,0.39999983974945796,0.0,-0.00032050108419889867,0.0,0.0,-0.00032050108419889867,19.9996794989158,78.69000000000001,1.3314249365946393,0.0,-0.02522023031561134,26.628072008757076,0.005608768973480727,0.013041380278737438,-1737.4434679737187,268.8649174103507,-2006.3083853840694,3.9999997317790985,0.0,0.0,78.69000001959502,1.3314249732269823,0.0,0.8999946583152634,0.3999946564435959,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,3.999999761581421
5,-0.9985676407814026,-0.9985676407814026,0.8999999951924837,0.899999839749458,0.39999999519248375,0.0,-9.615032523502265e-06,0.0,0.0,-9.615032523502265e-06,19.999990384967475,82.09999999999998,1.5906967521436028,0.0,-0.0007893941701795357,31.813919748271047,0.00016826306916128964,0.015598794817736008,-1705.6303376196179,268.86508567341986,-1974.4954232930377,5.000000178813934,0.0,0.0,82.09999999927238,1.590696664489913,0.0,0.899999839749458,0.39999984204769135,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,2.9999998211860657
6,-0.9996088743209839,-0.9996088743209839,0.8999999998557745,0.8999999951924837,0.3999999998557745,0.0,-2.8845097643781514e-07,1.658173456282761,1.6581731678317846,-0.0,18.341826832168216,94.3,1.9500643327920735,156.3657297265373,-0.0,35.767742303659865,5.047892087661765e-06,0.09420847139292705,-1513.4968655894206,268.86509072131196,-1782.3619563107327,5.999999940395355,0.0,0.0,94.300000179708,1.9500644917119758,1.6581732034683228,0.8999999951924837,0.3999999985098839,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,1.9999998807907104
7,-0.9998791217803955,-0.9998791217803955,0.8999999999956733,0.8999999998557745,0.39999999999567326,0.0,-8.653531224922517e-09,2.437657425313785,2.4376574166602536,-0.0,17.562342583339746,111.39999999999999,2.126502353117476,271.5550362159522,-0.0,37.34636282972722,1.5143679643614405e-07,0.1514630899532321,-1204.5954665437414,268.86509087274874,-1473.4605574164902,7.000000044703484,0.0,0.0,111.40000039100646,2.1265024027511403,2.4376577138900757,0.8999999998557745,0.3999999985098839,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,0.0
8,-0.999955415725708,-0.999955415725708,0.8999999999998702,0.8999999999956733,0.39999999999987024,0.0,-2.596056702941496e-10,4.12262341273602,4.122623412476415,-0.0,15.877376587523585,121.11,2.3566789082459483,499.2909214850186,-0.0,37.41787852209486,4.543099230147618e-09,0.26316349996159244,-667.8866665366277,268.86509087729183,-936.7517574139194,8.000000149011612,0.0,0.0,121.10999883770943,2.3566787844787136,4.1226232051849365,0.8999999999956733,0.3999999985098839,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,0.0
9,-0.9999784827232361,-0.9999784827232361,0.8999999999999961,0.8999999999998702,0.39999999999999614,0.0,-7.787104294720848e-12,9.049034363523349,9.049034363515561,-0.0,10.950965636484439,117.83,2.4346604782348846,1066.2477190530385,-0.0,26.66188323365699,1.3627432515761484e-10,0.5358844797795564,425.0229357500675,268.8650908774281,156.15784487263943,9.000000081956387,0.0,0.0,117.83000042796134,2.4346604367992475,9.049034342169762,0.8999999999998702,0.3999999985098839,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,0.0
