hour,action,delta,soc,soc_before,dod_morning,dod_evening,p_battery,p_pv_raw,p_pv_grid,p_bess_em,p_reserve,price_em,price_as,revenue_pv,revenue_energy,revenue_reserve,degradation_cost,reward,reward_base,reward_with_shaping,reward_final,reward_shaping_component,q1_eval,q2_eval,cumulative_revenue,cumulative_degradation,cumulative_profit,future_price_trend,delta_to_morning_peak,delta_to_evening_peak,time_to_peak_hour_raw,k,weekday,season,price_em_raw,price_as_raw,p_res_total_raw,soc_raw,dod_raw,price_em_max_morning,price_em_max_evening,k_em_max_morning,k_em_max_evening,price_em_min,k_em_min,price_as_min,price_as_max,time_to_peak_hour
0,-0.10399632155895233,-0.10399632155895233,0.5336254773040613,0.5,0.03362547730406129,0.0,-2.0799264311790466,0.5215498606617941,0.0,-1.5583765705172525,17.920073568820953,83.14999999999999,1.1644882379556112,0.0,-129.57901183850953,20.867714894191234,1.8199356272816658,1.4256772720757782,0.0,1.4256772720757782,1.4256772720757782,1.4256772720757782,0.8045681715011597,1.3646718263626099,-108.71129694431829,1.8199356272816658,-110.53123257159996,-1.3983333333333405,37.96000000000001,47.45000000000003,8.0,0.0,0.0,0.0,83.14999998835846,1.1644884185864801,0.5215495824813843,0.5,0.0,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,7.999999992549419
1,-0.2609500586986542,-0.2609500586986542,0.6179993296166262,0.5336254773040613,0.11799932961662618,0.0,-5.2190011739730835,0.0,0.0,-5.2190011739730835,14.780998826026917,82.73,1.056661682411641,0.0,-431.7679671227932,15.618515087234092,22.83313013613224,3.6090081068702267,0.0,3.6090081068702267,3.6090081068702267,3.6090081068702267,1.7173112630844116,2.5833723545074463,-524.8607489798774,24.653065763413906,-549.5138147432913,3.799999999999983,38.379999999999995,47.87000000000002,7.0,0.9999997615814209,0.0,0.0,82.73000000234693,1.0566615436229732,0.0,0.5336254773040613,0.03362548351287842,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,6.999999895691872
2,-0.37629207968711853,-0.37629207968711853,0.7396671020487945,0.6179993296166262,0.2396671020487945,0.0,-7.525841593742371,0.6800729650057269,0.0,-6.845768628736644,12.47415840625763,77.46999999999998,1.3101646303141927,0.0,-530.3416956682277,16.343201136815207,32.92555697262287,5.776063039010937,0.0,5.776063039010937,5.776063039010937,5.776063039010937,2.4528274536132812,3.8525915145874023,-1038.8592435112898,57.57862273603678,-1096.4378662473266,16.333333333333343,43.640000000000015,53.13000000000004,6.0,2.0000002086162567,0.0,0.0,77.47000010788439,1.3101647620472403,0.6800729036331177,0.6179993296166262,0.11799931526184082,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,5.999999955296516
3,-0.43057557940483093,-0.43057557940483093,0.8788865393896899,0.7396671020487945,0.37888653938968986,0.0,-8.611511588096619,1.5991813492284268,0.0,-7.012330238868191,11.388488411903381,75.21999999999998,1.453175043889333,0.0,-527.4674805676652,16.549467147800854,150.70145279169083,6.794545423209668,0.0,6.794545423209668,6.794545423209668,6.794545423209668,2.999096393585205,5.0406622886657715,-1549.7772569311542,208.2800755277276,-1758.0573324588818,25.685000000000002,45.890000000000015,55.38000000000004,5.0,2.9999999701976776,0.0,0.0,75.2200001773238,1.4531750926391265,1.5991812944412231,0.7396671020487945,0.23966708779335022,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,4.999999701976776
4,-0.429764986038208,-0.429764986038208,0.8993665961816907,0.8788865393896899,0.3993665961816907,0.0,-1.2668076366186098,0.0,0.0,-1.2668076366186098,18.73319236338139,78.69000000000001,1.3314249365946393,0.0,-99.68509292551842,24.94183945463025,22.169133640825674,0.8307056882926538,0.0,0.8307056882926538,0.8307056882926538,0.8307056882926538,3.412900686264038,6.156876564025879,-1624.5205104020424,230.44920916855327,-1854.9697195705958,27.58499999999998,42.41999999999999,51.91000000000001,4.0,3.9999997317790985,0.0,0.0,78.69000001959502,1.3314249732269823,0.0,0.8788865393896899,0.37888653576374054,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,3.999999761581421
5,-0.3333450257778168,-0.3333450257778168,0.8999809978854507,0.8993665961816907,0.3999809978854507,0.0,-0.038004229098560494,0.0,0.0,-0.038004229098560494,19.96199577090144,82.09999999999998,1.5906967521436028,0.0,-3.1201472089918156,31.753481839077253,0.6650740092248086,-0.09335090477521418,0.0,-0.09335090477521418,-0.09335090477521418,-0.09335090477521418,3.923954963684082,6.973428726196289,-1595.887175771957,231.11428317777808,-1827.001458949735,27.673333333333346,39.01000000000002,48.50000000000004,3.0,5.000000178813934,0.0,0.0,82.09999999927238,1.590696664489913,0.0,0.8993665961816907,0.399366594851017,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,2.9999998211860657
6,-0.10256282985210419,-0.10256282985210419,0.8999994299365636,0.8999809978854507,0.39999942993656357,0.0,-0.0011401268729582803,1.658173456282761,1.6570333294098027,-0.0,18.342966670590197,94.3,1.9500643327920735,156.2582429633444,-0.0,35.76996506191171,0.019952220276769905,-0.119401459578793,0.0,-0.119401459578793,-0.119401459578793,-0.119401459578793,4.571642875671387,7.045292377471924,-1403.8589677467007,231.13423539805484,-1634.9932031447556,15.669999999999987,26.810000000000002,36.300000000000026,2.0,5.999999940395355,0.0,0.0,94.300000179708,1.9500644917119758,1.6581732034683228,0.8999809978854507,0.3999809995293617,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,1.9999998807907104
7,0.24544210731983185,0.24544210731983185,0.815655063159989,0.8999994299365636,0.39999942993656357,0.0,4.908842146396637,2.437657425313785,2.437657425313785,4.908842146396637,12.653500428289579,111.39999999999999,2.126502353117476,271.5550371799556,546.8450151085854,26.90769843593078,85.90473756194115,8.437399203482824,0.0,8.437399203482824,8.437399203482824,8.437399203482824,4.405508995056152,6.330451488494873,-558.5512170222289,317.038972959996,-875.590189982225,-4.513333333333335,9.710000000000008,19.20000000000003,0.0,7.000000044703484,0.0,0.0,111.40000039100646,2.1265024027511403,2.4376577138900757,0.8999994299365636,0.3999994322657585,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,0.0
8,0.5451819896697998,0.5451819896697998,0.628307300386862,0.815655063159989,0.39999942993656357,0.0,10.903639793395996,4.12262341273602,4.12262341273602,10.903639793395996,4.9737367938679835,121.11,2.3566789082459483,499.29092151645943,1320.5398153781891,11.721500597275503,190.81369638442993,20.31250830995085,0.0,20.31250830995085,20.31250830995085,20.31250830995085,3.28549861907959,5.892940044403076,1273.001020469695,507.8526693444259,765.1483511252691,-17.74166666666666,0.0,9.490000000000023,0.0,8.000000149011612,0.0,0.0,121.10999883770943,2.3566787844787136,4.1226232051849365,0.815655063159989,0.3999994322657585,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,0.0
9,0.6654801964759827,0.6654801964759827,0.44014637879791607,0.628307300386862,0.4598530511386475,0.0,10.950965636476651,9.049034363523349,9.049034363523349,10.950965636476651,0.0,117.83,2.4346604782348846,1066.2477190539562,1290.3522809460437,0.0,239.55237329792675,19.88179647804096,0.0,19.88179647804096,19.88179647804096,19.88179647804096,2.5467493534088135,5.451385974884033,3629.601020469695,747.4050426423527,2882.195977827342,-16.103333333333325,0.0,12.770000000000024,0.0,9.000000081956387,0.0,0.0,117.83000042796134,2.4346604367992475,9.049034342169762,0.628307300386862,0.3999994322657585,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,0.0
